Feature,Importance
Age_band_of_driver_Under_18,0.0019319482981665556
Vehicle_Driver_Context_Automobile_2_5yr,0.001918836496229054
Cause_Collision_Context_Moving_Backward_Vehicle_with_vehicle_collision,0.0018958809584413477
Casualty_class_Passenger,0.001862589068583584
Casualty_class_Pedestrian,0.0018483600666807385
Educational_level_Unknown,0.0018246590507827538
Junction_Lane_Context_No_junction_Two_way_divided_with_broken_lines_road_marking,0.0018121576451320524
Driver_Context_31_50_2_5yr,0.001807297602374881
Time_Period_Morning,0.0018051772904063813
Educational_level_High_school,0.0017736002387167206
Driving_experience_Below_1yr,0.0017396586925420583
Type_of_vehicle_Other,0.0017239366802484551
Road_Environment_Wet_or_damp_Daylight_Raining,0.0016932157014563933
Sex_of_driver_Frequency,0.001685239624153668
Service_year_of_vehicle_Above_10yr,0.001660479575820379
Age_band_of_casualty_Under_18,0.0016600031122326832
Area_Time_Context_Other_Evening,0.001650574379224863
Driver_Context_31_50_5_10yr,0.001633579586759565
Type_of_vehicle_Lorry_11_40Q,0.0016252079502491932
Cause_Collision_Context_Driving_carelessly_Vehicle_with_vehicle_collision,0.0016223824306864035
Type_of_vehicle_Pick_up_upto_10Q,0.001603556057663283
Service_year_of_vehicle_Below_1yr,0.0015950251501780212
Type_of_vehicle_Unknown,0.0015911945081405886
Wet_Night,0.0015905992219764128
Junction_Lane_Context_No_junction_other,0.0015856108909264143
Driving_experience_Unknown,0.001572544468833584
Cause_Collision_Context_Changing_lane_to_the_right_Vehicle_with_vehicle_collision,0.0015663753312055702
Types_of_Junction_Other,0.0015339317869630896
Vehicle_movement_Other,0.0015245820080342421
Vehicle_Driver_Context_Automobile_5_10yr,0.0015195836186137999
Road_Environment_Wet_or_damp_Daylight_Normal,0.0015118691792762413
Area_Time_Context_Residential_areas_Afternoon,0.0014940057578310224
Casualty_severity_2,0.0014910173076986483
Owner_of_vehicle_Owner,0.0014904906581014012
Weather_Risk_Score,0.0014857314963612298
Driver_Context_31_50_1_2yr,0.001461560342084198
Vehicle_movement_Unknown,0.0014546099807174473
Area_Time_Context_Office_areas_Afternoon,0.0014441837786372217
Age_band_of_casualty_Over_51,0.0014435318801538722
Cause_Collision_Context_Changing_lane_to_the_left_Vehicle_with_vehicle_collision,0.0013942541961843651
Vehicle_movement_Turnover,0.0013833654541786902
Vehicle_movement_Moving_Backward,0.0013494657230100418
Vehicle_Driver_Context_Other_2_5yr,0.001343789238364203
Late_Night,0.0013339605649557652
Driver_Context_Over_51_2_5yr,0.0013338408412979044
Area_Time_Context_Other_Morning,0.0013201858808946606
Vehicle_Driver_Context_Automobile_Above_10yr,0.0013186152681565952
Cause_of_accident_No_priority_to_vehicle,0.0013156482801358184
Area_Time_Context_Office_areas_Evening,0.0013091291352302918
Junction_Lane_Context_Unknown_Two_way_divided_with_broken_lines_road_marking,0.0012953845126305928
Cause_Collision_Context_Changing_lane_to_the_right_Collision_with_roadside_objects,0.001262553164902354
Work_of_casuality_Employee,0.0012571182383368975
Area_Time_Context_Office_areas_Morning,0.0012450214502400705
Type_of_vehicle_Public_12_seats,0.0012421063627627714
Road_Environment_Wet_or_damp_Darkness_lights_lit_Normal,0.0012330785586246997
Vehicle_driver_relation_Unknown,0.0012326556379228884
Driver_Context_18_30_Above_10yr,0.0012155853369140459
Cause_of_accident_No_priority_to_pedestrian,0.0012123420632072176
Cause_Collision_Context_No_priority_to_vehicle_Vehicle_with_vehicle_collision,0.0011892491311970284
Pedestrian_movement_Unknown_or_other,0.0011809382680197857
Vehicle_Driver_Context_Lorry_41_100Q_Above_10yr,0.001178847244756418
Road_Environment_Dry_Darkness_no_lighting_Normal,0.0011781704315858609
Cause_of_accident_Other,0.0011647273166557213
Vehicle_movement_Reversing,0.0011485847973992376
Road_Environment_Wet_or_damp_Darkness_lights_lit_Raining,0.0011315624387209532
Road_surface_type_Earth_roads,0.0011301504299991822
Area_accident_occured_Industrial_areas,0.001126447377172757
Junction_Lane_Context_Y_Shape_other,0.0011149717780384203
Type_of_vehicle_Public_13_45_seats,0.0011038378765251238
Junction_Lane_Context_Unknown_Undivided_Two_way,0.0010972156629114223
Light_conditions_Darkness_no_lighting,0.0010916846523646641
Cause_of_accident_Driving_to_the_left,0.001086721671555798
Vehicle_Driver_Context_Lorry_41_100Q_5_10yr,0.0010780844573264042
Road_allignment_Tangent_road_with_mild_grade_and_flat_terrain,0.0010564215994500077
Area_Time_Context_Church_areas_Evening,0.0010489084258140998
Vehicle_Driver_Context_Pick_up_upto_10Q_5_10yr,0.0010281190041314093
Cause_Collision_Context_No_priority_to_pedestrian_Vehicle_with_vehicle_collision,0.0010150138744282505
Type_of_vehicle_Long_lorry,0.0010073555587394654
Vehicle_Driver_Context_Unknown_1_2yr,0.0010072394901400447
Vehicle_movement_Getting_off,0.0009943378258923266
Vehicle_Driver_Context_Public_12_seats_1_2yr,0.0009941270670910103
Driver_Context_31_50_Unknown,0.0009849109348915822
Work_of_casuality_Other,0.0009793810298219371
Vehicle_Driver_Context_Lorry_41_100Q_2_5yr,0.0009770730948639053
Type_of_vehicle_Motorcycle,0.0009720730092831233
Type_of_vehicle_Stationwagen,0.0009618485424537095
Cause_of_accident_Overloading,0.0009481682156038242
Pedestrian_movement_Crossing_from_nearside_masked_by_parked_or_statioNot_a_Pedestrianry_vehicle,0.0009470649099447773
Vehicle_Driver_Context_Automobile_Unknown,0.000938540233722243
Cause_Collision_Context_Other_Vehicle_with_vehicle_collision,0.0009333459309234078
Road_allignment_Steep_grade_downward_with_mountainous_terrain,0.0009183861967331723
Cause_of_accident_Overtaking,0.000915119689620123
Area_Time_Context_Industrial_areas_Afternoon,0.000903682618867281
Vehicle_Driver_Context_Pick_up_upto_10Q_2_5yr,0.0009018838843691142
Owner_of_vehicle_Unknown,0.0008937536017506967
Time_Period_Night,0.0008761047339253064
Junction_Lane_Context_Unknown_One_way,0.0008665522788344006
Cause_Collision_Context_No_priority_to_vehicle_Collision_with_roadside_objects,0.0008617894575953683
Driver_Context_31_50_Above_10yr,0.0008565414435082391
Cause_Collision_Context_Driving_carelessly_Collision_with_pedestrians,0.0008543561547401998
Junction_Lane_Context_Y_Shape_One_way,0.000848330292231637
Vehicle_Driver_Context_Lorry_11_40Q_5_10yr,0.0008418212672605419
Junction_Lane_Context_Crossing_Undivided_Two_way,0.000838754259429201
Vehicle_Driver_Context_Other_5_10yr,0.0008318691156159241
Vehicle_Driver_Context_Other_1_2yr,0.0008279625029949222
Junction_Lane_Context_Crossing_Two_way_divided_with_broken_lines_road_marking,0.0008230197463127776
Vehicle_Driver_Context_Motorcycle_Unknown,0.0008222234289506278
Driver_Context_18_30_Unknown,0.0008202900668763618
Cause_of_accident_Driving_under_the_influence_of_drugs,0.0008085325086712887
Driver_Context_Under_18_5_10yr,0.0008002797692227519
Junction_Lane_Context_No_junction_Double_carriageway_median,0.0007998866643118225
Cause_Collision_Context_Driving_to_the_left_Collision_with_pedestrians,0.0007990718834400681
Junction_Lane_Context_Y_Shape_Double_carriageway_median,0.0007985153471569006
Owner_of_vehicle_Organization,0.000795576783666728
Cause_of_accident_Driving_at_high_speed,0.0007932042180293667
Age_band_of_casualty_5,0.0007925620080672522
Type_of_vehicle_Public_45_seats,0.0007877672220530055
Cause_Collision_Context_Moving_Backward_Collision_with_roadside_objects,0.0007809041176050631
Cause_Collision_Context_No_distancing_Collision_with_pedestrians,0.0007776088283103756
Lanes_or_Medians_Unknown,0.0007769100840320161
Area_accident_occured_Recreational_areas,0.0007675180827864973
Driver_Context_Over_51_5_10yr,0.0007631220190447199
Vehicle_Driver_Context_Unknown_5_10yr,0.0007477626498901107
Type_of_collision_Rollover,0.0007310911452117862
Driver_Context_Under_18_Above_10yr,0.0007306385514723938
Cause_Collision_Context_No_distancing_Collision_with_roadside_objects,0.00072728561434398
Road_allignment_Tangent_road_with_mountainous_terrain_and,0.0007244116657032493
Area_accident_occured_School_areas,0.000717340415057653
Cause_Collision_Context_Driving_to_the_left_Vehicle_with_vehicle_collision,0.0007101835710268725
Driver_Context_18_30_Below_1yr,0.0007053574535435389
Driver_Context_Unknown_1_2yr,0.0007014597492115247
Area_Time_Context_Residential_areas_Morning,0.0007004339082880736
Cause_Collision_Context_Overtaking_Vehicle_with_vehicle_collision,0.0006964437016453121
Educational_level_Writing_reading,0.000690286953981615
Road_surface_type_Gravel_roads,0.0006853853317968639
Vehicle_Driver_Context_Long_lorry_Above_10yr,0.0006833295292603914
Road_allignment_Unknown,0.0006830645288428555
Weather_conditions_Unknown,0.0006645633154772068
Pedestrian_movement_Not_a_Pedestrian,0.0006603868659840197
Cause_Collision_Context_Changing_lane_to_the_left_Collision_with_roadside_objects,0.0006598950443418799
Area_Time_Context_Church_areas_Morning,0.0006483438286704965
Vehicle_Driver_Context_Public_12_seats_2_5yr,0.0006467201867300671
Vehicle_Driver_Context_Public_13_45_seats_5_10yr,0.00064357532447603
Area_accident_occured_Unknown,0.000619991972491891
Area_accident_occured_Market_areas,0.0006066476429439164
Cause_Collision_Context_Driving_carelessly_Rollover,0.0006064893291204697
Vehicle_Driver_Context_Public_13_45_seats_2_5yr,0.0006049424983810474
Road_allignment_Gentle_horizontal_curve,0.000603538166752926
Fitness_of_casuality_Other,0.0006022690416216359
Cause_of_accident_Getting_off_the_vehicle_improperly,0.0005975861487077107
Cause_Collision_Context_Changing_lane_to_the_right_Collision_with_pedestrians,0.0005925603098313597
Poor_Visibility,0.0005912092172202253
Driver_Context_Unknown_5_10yr,0.000584854003903279
Sex_of_driver_Male,0.0005830928051143616
Area_Time_Context_Industrial_areas_Evening,0.0005690346001255845
Driver_Context_Unknown_Above_10yr,0.0005659802178442549
Cause_Collision_Context_Driving_carelessly_Collision_with_roadside_objects,0.0005617769323593787
Vehicle_Driver_Context_Stationwagen_2_5yr,0.0005613425663628216
Driver_Context_Under_18_1_2yr,0.0005530607979776739
Junction_Lane_Context_Unknown_other,0.0005511686691393559
Cause_Collision_Context_Overloading_Vehicle_with_vehicle_collision,0.0005484967537321318
Cause_of_accident_Overturning,0.0005477102593025518
RushHour_HeavyTraffic,0.0005462068219830626
Vehicle_Driver_Context_Unknown_2_5yr,0.0005436468391588448
Driver_Context_Unknown_2_5yr,0.0005399899608141877
Driver_Context_Over_51_Unknown,0.000536832706734004
Vehicle_Driver_Context_Lorry_11_40Q_Above_10yr,0.0005263529985962043
Vehicle_Driver_Context_Unknown_Unknown,0.0005190172175274379
Area_Time_Context_Other_Night,0.0005125780032713893
Type_of_vehicle_Taxi,0.0005112963985085846
Vehicle_Driver_Context_Automobile_Below_1yr,0.0005063860382278881
Cause_Collision_Context_Driving_at_high_speed_Vehicle_with_vehicle_collision,0.0004907872644319309
Driver_Context_Over_51_1_2yr,0.00048811652507746347
Night_Complex_Road,0.00048790273408647647
Vehicle_Driver_Context_Public_45_seats_5_10yr,0.0004857866144085846
Area_Time_Context_Unknown_Afternoon,0.00048427110084617276
Vehicle_Driver_Context_Pick_up_upto_10Q_1_2yr,0.00048288946386966866
Area_Time_Context_Office_areas_Night,0.0004827530542022212
Vehicle_Driver_Context_Lorry_41_100Q_1_2yr,0.00048024426256149485
Cause_Collision_Context_Driving_under_the_influence_of_drugs_Collision_with_pedestrians,0.0004773756462753539
Area_Time_Context_Recreational_areas_Afternoon,0.0004743453031262653
Cause_Collision_Context_Overturning_Vehicle_with_vehicle_collision,0.0004708056583930322
Cause_Collision_Context_No_distancing_Collision_with_animals,0.00046729408271508607
Area_Time_Context_School_areas_Afternoon,0.00046433024488268406
Junction_Lane_Context_No_junction_One_way,0.0004621375119657014
Driver_Context_Under_18_2_5yr,0.00045825565407892115
Area_Time_Context_School_areas_Evening,0.00045818941033571914
Junction_Lane_Context_Other_Unknown,0.0004554713685748047
Area_Time_Context_Recreational_areas_Evening,0.0004544826195026843
Vehicle_movement_Stopping,0.0004492677011564372
Driver_Context_Over_51_Below_1yr,0.00044508127331417316
Cause_Collision_Context_Changing_lane_to_the_left_Collision_with_pedestrians,0.0004404028887055995
Road_surface_type_Other,0.0004379499689312991
Work_of_casuality_Student,0.0004358196836419262
Cause_of_accident_Overspeed,0.0004291662540440615
Vehicle_Driver_Context_Other_Above_10yr,0.00042704843832556017
