iter	Passed	Remaining
400	31346	7739
401	31424	7660
402	31500	7581
403	31578	7503
404	31660	7426
405	31744	7349
406	31833	7273
407	31918	7197
408	32001	7120
409	32080	7042
410	32158	6963
411	32238	6885
412	32315	6807
413	32394	6729
414	32474	6651
415	32561	6574
416	32649	6498
417	32731	6421
418	32822	6345
419	32899	6266
420	32975	6187
421	33050	6108
422	33123	6029
423	33193	5949
424	33271	5871
425	33347	5792
426	33425	5714
427	33499	5635
428	33572	5556
429	33658	5479
430	33736	5400
431	33817	5323
432	33897	5245
433	33970	5166
434	34043	5086
435	34114	5007
436	34186	4928
437	34258	4849
438	34332	4770
439	34412	4692
440	34487	4613
441	34576	4537
442	34708	4465
443	34783	4387
444	34858	4308
445	34950	4231
446	35047	4155
447	35129	4077
448	35221	4000
449	35304	3922
450	35387	3844
451	35457	3765
452	35528	3686
453	35602	3607
454	35678	3528
455	35747	3449
456	35820	3370
457	35893	3291
458	35971	3213
459	36043	3134
460	36114	3055
461	36186	2976
462	36265	2898
463	36336	2819
464	36415	2740
465	36501	2663
466	36576	2584
467	36648	2505
468	36723	2427
469	36810	2349
470	36890	2271
471	36972	2193
472	37043	2114
473	37135	2036
474	37211	1958
475	37284	1879
476	37360	1801
477	37429	1722
478	37505	1644
479	37579	1565
480	37650	1487
481	37723	1408
482	37798	1330
483	37869	1251
484	37941	1173
485	38009	1094
486	38082	1016
487	38153	938
488	38227	859
489	38298	781
490	38369	703
491	38437	625
492	38507	546
493	38578	468
494	38650	390
495	38721	312
496	38791	234
497	38859	156
498	38928	78
499	38998	0
