iter	Logloss
0	0.623649767
1	0.5728933224
2	0.522704005
3	0.480043904
4	0.4471545874
5	0.4184356867
6	0.3919575116
7	0.3687751146
8	0.3516297207
9	0.3309246375
10	0.3151993033
11	0.3025202632
12	0.2903103724
13	0.2804880258
14	0.2710789156
15	0.2631324013
16	0.2555331826
17	0.2478185184
18	0.2363240448
19	0.2303451565
20	0.2251854406
21	0.2195921897
22	0.2121510501
23	0.2074595476
24	0.2032316837
25	0.1963147303
26	0.1917007791
27	0.1883970315
28	0.1847543496
29	0.1795731971
30	0.1754595929
31	0.1721831471
32	0.1688256404
33	0.1661115369
34	0.1625865081
35	0.1589544833
36	0.1566398729
37	0.1537711081
38	0.1514779468
39	0.1491974709
40	0.1468319935
41	0.1445569796
42	0.1421687459
43	0.1398539156
44	0.1383286944
45	0.1364363568
46	0.1347586772
47	0.132703646
48	0.1310870808
49	0.1288638463
50	0.1277060883
51	0.1259340581
52	0.1245531767
53	0.1232704067
54	0.1215936408
55	0.1203798231
56	0.1193259035
57	0.117814186
58	0.1164703562
59	0.1151332661
60	0.1140544513
61	0.1125865906
62	0.1116028152
63	0.1108161075
64	0.1089828786
65	0.1070222776
66	0.1054835737
67	0.1045809114
68	0.1036503608
69	0.102774981
70	0.1018114953
71	0.1006969724
72	0.09983767539
73	0.09892769977
74	0.09759279591
75	0.09690012829
76	0.09604517898
77	0.09497995756
78	0.09393906205
79	0.09338019875
80	0.09257854905
81	0.09203784722
82	0.09132379058
83	0.09058682182
84	0.0898940501
85	0.08884443864
86	0.08820870957
87	0.08756386955
88	0.08695060141
89	0.08631764244
90	0.08528879801
91	0.08465968803
92	0.08414661871
93	0.08340124745
94	0.08290319218
95	0.08241941388
96	0.08186567444
97	0.0814721412
98	0.08058174029
99	0.08008364727
100	0.07940192893
101	0.07872120089
102	0.07832710845
103	0.0778483818
104	0.07720158838
105	0.07673776993
106	0.07599447607
107	0.07558205326
108	0.07513152192
109	0.07453910492
110	0.07413057853
111	0.07357606549
112	0.07307703297
113	0.07268582767
114	0.07233511881
115	0.07185519434
116	0.0712803525
117	0.07068384826
118	0.07032476789
119	0.06977491783
120	0.06928594009
121	0.0687078621
122	0.06833057853
123	0.06792107467
124	0.06751030024
125	0.0672857792
126	0.06695342383
127	0.06665777124
128	0.06632463846
129	0.06605463122
130	0.06577603611
131	0.06538711442
132	0.06490739265
133	0.0645119761
134	0.06414226573
135	0.063787246
136	0.06336365803
137	0.06286957568
138	0.06250526978
139	0.06204833525
140	0.06155185875
141	0.0612135979
142	0.0606862358
143	0.06040714293
144	0.05995769184
145	0.05925033351
146	0.0590226357
147	0.05829644208
148	0.05801113295
149	0.0576231769
150	0.05679635087
151	0.05645059778
152	0.05620471494
153	0.05590755242
154	0.05557766111
155	0.05532112523
156	0.0550424998
157	0.05469006098
158	0.05435365985
159	0.05413813698
160	0.05368820598
161	0.05341369901
162	0.05306221077
163	0.05275388083
164	0.05230795605
165	0.05188221422
166	0.05160102349
167	0.05140853391
168	0.05102415441
169	0.05055420413
170	0.05035609787
171	0.05013260576
172	0.04987297217
173	0.04947909724
174	0.0491406877
175	0.04890841006
176	0.04865312146
177	0.04832807737
178	0.04810973444
179	0.04778021266
180	0.04761227849
181	0.04742367714
182	0.04713118398
183	0.04667170675
184	0.04655503618
185	0.04628666265
186	0.04604884053
187	0.04571459355
188	0.04519690994
189	0.04491330579
190	0.04456157647
191	0.04433055504
192	0.04412945035
193	0.04378826414
194	0.04346991551
195	0.04312207213
196	0.04290128025
197	0.04271885397
198	0.04250070125
199	0.04228012674
